ID,O_time,O_geo_X,O_geo_Y,O_geo_type,O_box_X,O_box_Y,O_place_name,O_tweet_text,O_tweet_url
cajodi,Sat Apr 20 07:19:42 +0000 2019,,,,33.9166485,-118.400264,El Segundo,"@CollaColbert2 @EdKrassen Didn’t conspire or coordinate. Just  accidentally rolled out the red carpet, (looked the… https://t.co/mPf9SwTLD5",https://twitter.com/i/web/status/1119500876060618752
ParsonsJobs,Sun Apr 21 10:42:55 +0000 2019,33.9191799,-118.4164652,Point,33.9166485,-118.400264,El Segundo,"We're hiring! Read about our latest job opening here: Administrative Specialist - https://t.co/LRGAraIyPM #IT #ElSegundo, CA",http://bit.ly/2Xvho1M
jethrosalapare,Sun Apr 21 10:30:56 +0000 2019,33.94346675,-118.4066105,Point,34.0207895,-118.4119065,Los Angeles,"Happy Easter 🐰 Joyeuses Pâques 🐣 He is risen and He is with us ❤️

btw, i’m in LA, San Diego, Riverside, Oceanside,… https://t.co/9pYtrj8pvI",https://twitter.com/i/web/status/1119911388506255360
urboifrend,Sun Apr 21 10:29:46 +0000 2019,,,,,,,@pend_ulum iya ga bakal gitu lagi deh :( tp kalo aku yg di P in gedek juga wkwkwk,
urboifrend,Sun Apr 21 10:28:35 +0000 2019,,,,,,,@bucinrexx kok aku ikutan ketawa wkwk liat foto sma nya kaya nahan ketawa gt,
urboifrend,Sun Apr 21 10:27:02 +0000 2019,,,,,,,"@rainbowmnfs aku jg jelek, yuk temenan",
urboifrend,Sun Apr 21 10:25:42 +0000 2019,,,,,,,@mistercalvin_ pinrang sidrap soppeng,
urboifrend,Sun Apr 21 10:19:06 +0000 2019,,,,,,,@pend_ulum mon maap tapi sy tipikal org ngechat kaya gitu kalo lagi buru2 bgt :(,
urboifrend,Sun Apr 21 10:14:42 +0000 2019,,,,,,,"@mistercalvin_ 50% Bugis
50% Medan",
urboifrend,Sun Apr 21 10:12:12 +0000 2019,,,,,,,@rainbowmnfs jakarta bandung jogja,
IsisDanielle,Sun Apr 21 09:40:14 +0000 2019,33.9213,-118.406,Point,33.9166485,-118.400264,El Segundo,"Just posted a photo @ El Segundo, California https://t.co/kJd9NMFgbH",https://www.instagram.com/isisdanielle1979/p/Bwg0zB1l276/?utm_source=ig_twitter_share&igshid=a02pxu3ycfsn
CJaunefleure,Sun Apr 21 09:39:10 +0000 2019,33.95965749,-118.3958602,Point,34.0207895,-118.4119065,Los Angeles,Loving 🥰 Ihop ☺️🍔🥤🍽🍝🍟☕️🍦🍨 👩👧👱‍♀️👱‍♀️🌃 @junipercoleman rebecca.m.trebaol #familydinnernight #celebrationnight #ihop… https://t.co/j40TXRVb1L,https://twitter.com/i/web/status/1119898359865569281
CJaunefleure,Sun Apr 21 09:38:54 +0000 2019,33.95965749,-118.3958602,Point,34.0207895,-118.4119065,Los Angeles,To my baby sister gettin grown !!!! She finally finished her first communion🙏👼📖👰🌹🌹💓❤️😘💯😂😂 and confirmation proud of… https://t.co/2ZQprSpDL8,https://twitter.com/i/web/status/1119898292463104000
6633north,Sun Apr 21 09:34:27 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@SarahSpain @SteveKerr #MakeAmericaSmartAgain https://t.co/EboqcRISZ6,https://twitter.com/6633north/status/1119897173338968064/photo/1
mimib_04,Sun Apr 21 09:30:25 +0000 2019,,,,33.93823585,-118.357262,Lennox,@Skydr0 I know I did lol,
The_McJones,Sun Apr 21 01:29:49 +0000 2019,,,,33.938002,-118.4099806,Westchester - LAX,"@chrisjrn We are old friends, Hel Lola and I.",
The_McJones,Sun Apr 21 01:24:06 +0000 2019,33.94140625,-118.4081311,Point,34.0207895,-118.4119065,Los Angeles,Hello LA,
attCAREERS,Sun Apr 21 01:22:48 +0000 2019,33.9191799,-118.4164652,Point,33.9166485,-118.400264,El Segundo,"Can you recommend anyone for this job in #ElSegundo, CA? https://t.co/yGL3iPMFcY #Engineering",http://bit.ly/2XvRFGA
SybeCompany,Sun Apr 21 01:22:23 +0000 2019,,,,,,,Postpartum depression is one of the most common complications of childbirth. Researchers are homing in on risk factors.,
fernanasosaa,Sun Apr 21 01:15:44 +0000 2019,,,,33.93823585,-118.357262,Lennox,¿Y todo para que? 😅 https://t.co/RU5NTTXDxx,https://twitter.com/fernanasosaa/status/1119771665817227265/video/1
urboifrend,Sun Apr 21 01:13:30 +0000 2019,,,,,,,@ipyadct @ghiffafap belom liat yg okka:(,
LXdodge,Sun Apr 21 01:12:16 +0000 2019,,,,33.9166485,-118.400264,El Segundo,"Practicing the religion of, Reality.",
urboifrend,Sun Apr 21 01:06:30 +0000 2019,,,,,,,good morning gaes ☀🙏🏻,
DonnieLeftTurn,Sun Apr 21 01:06:17 +0000 2019,33.95822,-118.394684,Point,34.0207895,-118.4119065,Los Angeles,"I'm at Team Str8away Racing Performance Analytics and Consulting - @debbie_str8away in Los Angeles, Calif… https://t.co/4XPb37V1fD",https://twitter.com/i/web/status/1119769289077211136
halko_alexa,Sun Apr 21 00:58:56 +0000 2019,,,,33.9166485,-118.400264,El Segundo,Love convos with the LA Uber drivers on this 4/20,
tmj_lax_cstsrv,Sun Apr 21 00:55:14 +0000 2019,33.9191799,-118.4164652,Point,33.9166485,-118.400264,El Segundo,"Nervous to apply for a job like ""Help Desk Analyst"" at Robert Half Technology? Apply even if you're not a 100% matc… https://t.co/twOVdfDjF5",https://twitter.com/i/web/status/1119766510078062593
CJhockey10,Sun Apr 21 00:53:08 +0000 2019,33.9213,-118.406,Point,33.9166485,-118.400264,El Segundo,"Wanderlust ✨ (📸: cmphotography_48 )
.
.
.
.
.
.
.
#photography #sunset #thinking #wanderlust #lax #losangeles… https://t.co/YyszSa3lmd",https://twitter.com/i/web/status/1119765978642915328
austansmith,Sun Apr 21 00:52:32 +0000 2019,,,,33.9166485,-118.400264,El Segundo,Can’t wait to watch @KJ_Osborn kill it this year at the U. We need Buffalo to join a power conference.,
urboifrend,Fri Apr 19 02:22:54 +0000 2019,,,,,,,@seegeetns ok,
kemangz,Fri Apr 19 02:09:44 +0000 2019,,,,33.9166485,-118.400264,El Segundo,"a waitress just IDed me &amp; then when she asked me how my week was &amp; I said good, excited to fly home, she asked me i… https://t.co/BLpgHHIGBn",https://twitter.com/i/web/status/1119060481732276224
6633north,Fri Apr 19 02:04:01 +0000 2019,,,,33.9166485,-118.400264,El Segundo,"@GunsAndFamily @lexforchange Pablo honey, I make a lot of $ in your state! Btw,call your alma mater and ask for your $ back. U were robbed",
airlinevideos,Fri Apr 19 01:57:06 +0000 2019,,,,33.938002,-118.4099806,Westchester - LAX,@nonfixum @FijiAirways @Airbus @flyLAXairport It looks great on the A330! 👍🏼👍🏼,
Hair_Magnifique,Fri Apr 19 01:51:33 +0000 2019,,,,,,,"Frontals to match your bundles babes
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣… https://t.co/xNk9PTPzq8",https://twitter.com/i/web/status/1119055906199654401
urboifrend,Sat Apr 20 11:50:48 +0000 2019,,,,,,,malmingnya me time aja gpp 👌🏻 https://t.co/ncGNvq7vPN,https://twitter.com/urboifrend/status/1119569097757343745/photo/1
LinQuestCorp,Sat Apr 20 11:02:49 +0000 2019,33.919045,-118.3901242,Point,33.9166485,-118.400264,El Segundo,We're hiring! Read about our latest job opening here: Systems Engineer - https://t.co/aiHsrWogkx #VTEngineering #UCLA,http://bit.ly/2XqDH8L
doseofrx,Sat Apr 20 10:51:36 +0000 2019,33.94381432,-118.4031518,Point,34.0207895,-118.4119065,Los Angeles,4 countries with this person. You only get to really know someone when you've travelled with them. All the laughter… https://t.co/meTpmTwXRm,https://twitter.com/i/web/status/1119554201732960256
ParsonsJobs,Sat Apr 20 10:37:50 +0000 2019,33.9191799,-118.4164652,Point,33.9166485,-118.400264,El Segundo,"This job might be a great fit for you: Administrative Specialist - https://t.co/eagDIUHa0y #IT #ElSegundo, CA",http://bit.ly/2Zqr8vS
TSamanthaB,Sat Apr 20 10:25:22 +0000 2019,33.96342936,-118.3738908,Point,34.0207895,-118.4119065,Los Angeles,"Saw George again tonight!! (@ Westchester Playhouse in Los Angeles, CA) https://t.co/0hbd1OOUF7",https://www.swarmapp.com/c/lcvKFAd5fE2
destinnnyyMoore,Sat Apr 20 10:09:26 +0000 2019,,,,33.958129,-118.393714,Lax Hookah Lounge,🥶💙🕊😍☺️😘 https://t.co/Ynm9l9tOk9,https://twitter.com/destinnnyyMoore/status/1119543591536189441/photo/1
jul_uly,Sat Apr 20 09:26:29 +0000 2019,,,,,,,@rockygerung @rockygerung wkwkwkwkwkwkwkwk,
urboifrend,Sat Apr 20 08:48:43 +0000 2019,,,,,,,@dkaikaokan eh sulawesi mana tah?,
urboifrend,Sat Apr 20 08:46:45 +0000 2019,,,,,,,@susahsignall sabar pak,
WatzOnDawnsMind,Thu Apr 18 22:42:35 +0000 2019,33.942916,-118.408649,Point,34.0207895,-118.4119065,Los Angeles,"Missed me by.... that much.
#incoming @ Lax International Airport Los Angeles California https://t.co/Gayl3nf6qI",https://www.instagram.com/p/Bwaf8Q9B4zZ/?utm_source=ig_twitter_share&igshid=8lnhxfcrh7bw
LeRomeSwiss,Thu Apr 18 22:39:57 +0000 2019,33.9586176,-118.4193004,Point,34.0207895,-118.4119065,Los Angeles,I will be performing a few songs live with ghostdigi 🎸 this saturday between 4-5pm @ the Heart of Hollywood 🕺🏾🎶 BE… https://t.co/OXWmmZ0Pok,https://twitter.com/i/web/status/1119007686010507264
tmj_cao_eng,Thu Apr 18 22:38:14 +0000 2019,33.9150066,-118.4046264,Point,33.9166485,-118.400264,El Segundo,"Click the link in our bio to see currently open #Engineering jobs like ""Launch Mission Management and Integration L… https://t.co/hLaTYKdBlh",https://twitter.com/i/web/status/1119007253888032773
tmj_lax_adv,Thu Apr 18 22:32:51 +0000 2019,33.9191799,-118.4164652,Point,33.9166485,-118.400264,El Segundo,Looking to score a job at Booz Allen Hamilton? You're in luck. Click the link in our bio for the job description an… https://t.co/wCGpVL9dQc,https://twitter.com/i/web/status/1119005899094237185
MAYORCOOLEY,Thu Apr 18 22:31:52 +0000 2019,,,,33.9166485,-118.400264,El Segundo,"How high is the water, Mah?
#3FeetHighAndRising https://t.co/p5eZtmZ8oc",https://twitter.com/HipHopGoldenAge/status/1118998913925701635
Preach_COOP,Thu Apr 18 22:22:23 +0000 2019,,,,33.9166485,-118.400264,El Segundo,I can’t understand for the life of me why I keep thinking today is Friday,
tmj_lax_eng,Thu Apr 18 22:21:10 +0000 2019,33.9150066,-118.4046264,Point,33.9166485,-118.400264,El Segundo,This #Engineering job might be a great fit for you. Click the link in our bio to see it and more. Intermediate Leve… https://t.co/OS1ScGLwQi,https://twitter.com/i/web/status/1119002961168875520
tmj_LAX_adm,Thu Apr 18 22:18:28 +0000 2019,33.9191799,-118.4164652,Point,33.9166485,-118.400264,El Segundo,"We're hiring in El Segundo, CA! Click the link in our bio to apply to this job and more: Space Vehicle Systems Engi… https://t.co/LZTljvbHTX",https://twitter.com/i/web/status/1119002282593402880
aj_mada,Fri Apr 19 16:17:53 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@kellylinx3 Lame,
LTL_ARTICHOKE1,Fri Apr 19 16:16:44 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@curtsmith Happy Friday Curt! Enjoy your day!🌻☕️ https://t.co/9dEAnUImGT,https://twitter.com/LTL_ARTICHOKE1/status/1119273635200389121/photo/1
TalJonesMusic,Fri Apr 19 16:12:41 +0000 2019,33.942916,-118.408649,Point,34.0207895,-118.4119065,Los Angeles,"Cali (The Tookie Williams Theory).....TOMORROW....#longawaited 
I know y’all gonna enjoy this shxt! NOW I KNOW THIS… https://t.co/5YcQ3mNAA2",https://twitter.com/i/web/status/1119272616349577216
noriakisaito,Fri Apr 19 16:08:18 +0000 2019,33.942916,-118.408649,Point,34.0207895,-118.4119065,Los Angeles,"LAX, super rich笑
オープンのラウンジって最高だね
全天候型のドームみたい。寒くないし埃も飛んでないし風も吹いてない。
サイド7てこんな感じなんだろうか @ Lax International Airport Los… https://t.co/sxTpsdozZp",https://twitter.com/i/web/status/1119271512379396097
iamLEBO_M,Fri Apr 19 16:08:07 +0000 2019,,,,33.94389398,-118.4050226,Los Angeles International Airport (LAX),"Thank you @losangeles_city as always awesome choir and orchestra and awesome reconnecting with the fam 🎶🎤 now, let’… https://t.co/nGLQIxzOLu",https://twitter.com/i/web/status/1119271468104216576
dark_side_tv,Fri Apr 19 16:07:07 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@tyler5kuhn @Raiders Kyler is a bust.! He might have a good first season but watch..I always give guys 2 years and… https://t.co/1pY9dsTJQg,https://twitter.com/i/web/status/1119271216651456513
ravercabbie,Fri Apr 19 16:04:39 +0000 2019,33.94332434,-118.405602,Point,34.0207895,-118.4119065,Los Angeles,"I'm at Los Angeles International Airport - @flylaxairport in Los Angeles, CA w/ @pstowncar @latowncar https://t.co/amAcrMrPcK",https://www.swarmapp.com/c/1CtJx7NKT2K
aj_mada,Fri Apr 19 15:59:06 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@mansfieldtownfc Come on you Stags!,
RudyMarquezJr,Fri Apr 19 15:56:37 +0000 2019,,,,33.9166485,-118.400264,El Segundo,My birthday is tomorrow just wanted to remind everyone of my gift list ☺️✨ https://t.co/FKmH4Q9LlS,https://twitter.com/rudymarquezjr/status/1114213645204877312
urboifrend,Fri Apr 19 15:56:27 +0000 2019,,,,,,,"@sweetfantasy25 biasa ajaaaa kok, kamu mah lebih hits 💪🏻",
ChelseyPaige___,Fri Apr 19 15:56:14 +0000 2019,,,,33.96184972,-118.3672845,Roscoe's House of Chicken and Waffles,Best gravy I ever had😩😋,
urboifrend,Fri Apr 19 15:55:42 +0000 2019,,,,,,,"@peacebabas nga, aku masih polos, suer.",
narfcotic,Sun Apr 21 06:53:54 +0000 2019,,,,33.93823585,-118.357262,Lennox,@JasonLVoorhees ayo my boy was tryna telll me you was a zombie 🧟‍♂️ and I was ready to punch this nigga in the head🤦🏽‍♂️,
jqgregory,Sun Apr 21 06:52:05 +0000 2019,,,,33.9166485,-118.400264,El Segundo,"@Lynnevere @seanbaloo @qjurecic As an educator, it's especially disheartening to realize that some people are quite… https://t.co/MaxFqWt7kM",https://twitter.com/i/web/status/1119856314518081537
Barondavis1959,Sun Apr 21 06:49:30 +0000 2019,33.96030232,-118.3779536,Point,34.0207895,-118.4119065,Los Angeles,TWO ROSES TATTOO DESIGN @ Monkeyfacetattoos https://t.co/4rhHV8nrGN,https://www.instagram.com/p/BwghQfNlcfh/?utm_source=ig_twitter_share&igshid=1otexy4unt09p
saullevitz,Sun Apr 21 06:48:21 +0000 2019,,,,33.9556062,-118.4463501,Playa del Rey,The Harbor Room https://t.co/LW25eUDSVq,https://twitter.com/saullevitz/status/1119855375124013056/photo/1
CJaunefleure,Sun Apr 21 06:47:19 +0000 2019,33.95965749,-118.3958602,Point,34.0207895,-118.4119065,Los Angeles,Celebrating 🥳 her Eucharist and communion🙏👼📖👏👏👰💯❤️😘🌹🌹🌹  for a little sister Annie family dinner 🍽 🍔🍝🍟🥤🥤🥤🥤☕️☕️☕️☕️ r… https://t.co/iAUF5SgRCe,https://twitter.com/i/web/status/1119855113357553665
drum_killer,Sun Apr 21 06:44:24 +0000 2019,,,,33.94692468,-118.4123653,LAX Tarmac,Mahalo for your hospitality Hawaii,
SwimCharlieSwim,Sun Apr 21 06:40:19 +0000 2019,,,,33.94174003,-118.3997011,Terminal 7,Jesus has cleared the building. https://t.co/2nAk9oDuA5,https://twitter.com/SwimCharlieSwim/status/1119853349531111424/photo/1
ENF2_,Sun Apr 21 06:39:52 +0000 2019,33.942916,-118.408649,Point,34.0207895,-118.4119065,Los Angeles,"The adventure continues safely in LA. Next stop the world 
#ENF2wasHere #ENF2BelieveIn #ENF2MeetKorea @ Lax Interna… https://t.co/Rgcgh6Z6to",https://twitter.com/i/web/status/1119853239141376000
thericksaga,Sun Apr 21 06:26:11 +0000 2019,33.91987111,-118.4161281,Point,33.9166485,-118.400264,El Segundo,"#RinaldisElSegundo
#Godfather
How I roll

#RICKSAGA 

https://t.co/5LQxy9SyV7 @ The Original Rinaldi's https://t.co/s6nzPSsRB3",http://www.RICKSAGA.com
carlossmyguy,Sun Apr 21 06:15:18 +0000 2019,,,,33.94389398,-118.4050226,Los Angeles International Airport (LAX),back to breathing this polluted ass air 🤩🤩🤩🤩🤩,
CJaunefleure,Sun Apr 21 06:13:26 +0000 2019,33.95965749,-118.3958602,Point,34.0207895,-118.4119065,Los Angeles,To my baby sister gettin grown !!!! She finally finished her first communion🙏👼📖👰🌹🌹💓❤️😘💯😂😂 and confirmation proud of… https://t.co/99NT4CbPPE,https://twitter.com/i/web/status/1119846586832441346
IsisDanielle,Sun Apr 21 05:55:04 +0000 2019,33.9213,-118.406,Point,33.9166485,-118.400264,El Segundo,"Just posted a photo @ El Segundo, California https://t.co/k7D7vkwDUa",https://www.instagram.com/isisdanielle1979/p/BwgbB5Pln1v/?utm_source=ig_twitter_share&igshid=3n9775e0i16u
ultimateshtpstr,Sun Apr 21 05:47:51 +0000 2019,,,,33.93823585,-118.357262,Lennox,"Hey @ibxtoycat if you need a seed video idea I got one, use ""GRANDAYY"" (all caps) on Minecraft Xbox One (the old on… https://t.co/4whytbR5Fs",https://twitter.com/i/web/status/1119840145648144384
Jux714,Sun Apr 21 05:46:08 +0000 2019,33.9452861,-118.4038779,Point,34.0207895,-118.4119065,Los Angeles,Already wishing we were back in Hawaii...🌺🌺🏖🏖🌋🏝🏝🏝🌊🌊🌊🌊🌊 ttruong_13 #hawaii #paradise #vacation #love #peace #aloha @… https://t.co/OKxggKob9i,https://twitter.com/i/web/status/1119839713672802304
ShalomLittle,Fri Apr 19 23:13:07 +0000 2019,33.94602965,-118.4040947,Point,34.0207895,-118.4119065,Los Angeles,In the words of the #melanted fam - peace 'n' blessings lmao. Yo L.A. is definitely a vibe like no other I have exp… https://t.co/nmErmftxv6,https://twitter.com/i/web/status/1119378420973092864
uservru,Fri Apr 19 23:12:56 +0000 2019,,,,33.9166485,-118.400264,El Segundo,just got cut in line at shake shack ..what even lol,
uservru,Fri Apr 19 23:12:14 +0000 2019,,,,33.9166485,-118.400264,El Segundo,sometimes I wonder how I get so lucky omg,
PopDibiase,Fri Apr 19 23:10:50 +0000 2019,33.94647124,-118.3907425,Point,34.0207895,-118.4119065,Los Angeles,Figueroa/Parejo Final faceoff 1st Fight Live on Fox Tomorrow @BrandonLeeFig @yonfreparejo premierboxing pbconfox… https://t.co/C31hc5HZ5j,https://twitter.com/i/web/status/1119377845485174784
AdaraElizabeth,Fri Apr 19 23:05:40 +0000 2019,,,,33.9166485,-118.400264,El Segundo,LMFAOOOOOOO WHET IS GOING ON 😂😂😂 https://t.co/ZYHGJNeRln,https://twitter.com/matt_barnes22/status/1119097031857827840
AryaSenboutaraj,Fri Apr 19 23:05:40 +0000 2019,33.9213,-118.406,Point,33.9166485,-118.400264,El Segundo,"I’m a turmeric drink🤣🤣🤣 @ El Segundo, California https://t.co/v99OhaQkMC",https://www.instagram.com/p/BwdHYNOApms/?igshid=hn0d1qkkgg7d
LAcrimes,Fri Apr 19 23:03:59 +0000 2019,,,,33.9166485,-118.400264,El Segundo,"This says a lot about this lawyer, the bar and Kern County justice. https://t.co/AqeTL9PhlA",https://twitter.com/alenetchek/status/1119302863270727680
JoeLesterPhotos,Fri Apr 19 22:57:51 +0000 2019,33.94346675,-118.4066105,Point,34.0207895,-118.4119065,Los Angeles,Off to #europe with #SteelPanther for 2 #festivals and the #FullMetalCruise @MichaelStarrr @steel_panther… https://t.co/fEEz1koKTb,https://twitter.com/i/web/status/1119374578285867008
outtathiswrld,Fri Apr 19 22:51:32 +0000 2019,,,,33.96184972,-118.3672845,Roscoe's House of Chicken and Waffles,Y’all know what’s hannenin 🥵🥢 https://t.co/9uvTy2U8f9,https://twitter.com/outtathiswrld/status/1119372991807115264/photo/1
oohsooyum,Fri Apr 19 22:51:31 +0000 2019,33.94332434,-118.405602,Point,34.0207895,-118.4119065,Los Angeles,"LAX ➡️ HNL ✈️🌺 (@ Los Angeles International Airport - @flylaxairport in Los Angeles, CA) https://t.co/YzXUtn4wUP",https://www.swarmapp.com/c/1XF1VmI18Jg
Cardo315,Fri Apr 19 22:49:40 +0000 2019,33.96185,-118.37045,Point,33.95363355,-118.3461524,Inglewood,Someone day dessert? @ Randy's Donuts https://t.co/e9m1hQxnYF,https://www.instagram.com/p/BwdFjDMFvKL/?utm_source=ig_twitter_share&igshid=zp88435vmwg
Tifani_Roze,Sun Apr 21 14:31:57 +0000 2019,,,,33.9166485,-118.400264,El Segundo,Good morning Cali! What’s good?!,
Tifani_Roze,Sun Apr 21 14:31:57 +0000 2019,,,,33.9166485,-118.400264,El Segundo,😎 https://t.co/LuMaVQCzbS,https://twitter.com/Tifani_Roze/status/1119972039731712000/video/1
urboifrend,Sun Apr 21 14:29:28 +0000 2019,,,,,,,"@rainbowmnfs kuliah dulu, tapi kawin juga HAHAHAH becanda nder",
urboifrend,Sun Apr 21 14:22:04 +0000 2019,,,,,,,@rainbowmnfs lagi mikir caranya dompet gue bisa tebel dengan napas doang,
urboifrend,Sun Apr 21 14:18:33 +0000 2019,,,,,,,@rainbowmnfs pake selang nder,
urboifrend,Fri Apr 19 06:19:24 +0000 2019,,,,,,,@rainbowmnfs yuk,
KelliHurley,Fri Apr 19 06:19:23 +0000 2019,33.9213,-118.406,Point,33.9166485,-118.400264,El Segundo,Today sparked all the joy! ✨ Talking about the growth and future of #podcasts to spectrumnews1socal on LA’s Inside… https://t.co/pLxuYCKCB8,https://twitter.com/i/web/status/1119123309633789953
dricacrf,Fri Apr 19 06:18:54 +0000 2019,,,,33.938002,-118.4099806,Westchester - LAX,"E no voo pra Chicago estão solicitando dois voluntários para embarcar só amanhã pela manhã, estão pagando US$ 550,0… https://t.co/keWH8YNcWO",https://twitter.com/i/web/status/1119123184828108804
TSamanthaB,Sun Apr 21 23:27:52 +0000 2019,33.96342936,-118.3738908,Point,34.0207895,-118.4119065,Los Angeles,"Set up!! #Pippin (@ Westchester Playhouse in Los Angeles, CA) https://t.co/z5l5XsM79z",https://www.swarmapp.com/c/3G3oWYYsks7
tmj_ca_mgmt,Sun Apr 21 23:26:20 +0000 2019,33.9516114,-118.3875775,Point,34.0207895,-118.4119065,Los Angeles,"Nervous to apply for a job like ""Cargo Supervisor"" at G2 Secure Staff? Apply even if you're not a 100% match. You m… https://t.co/a8BE5t4FOz",https://twitter.com/i/web/status/1120106522111963136
